Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,6624.950195,6673.439941,6616.879883,6672.689941,6672.689941,105500
2023-05-03,6675.709961,6675.709961,6606.689941,6606.689941,6606.689941,104300
2023-05-04,6612.140137,6684.439941,6612.140137,6684.350098,6684.350098,115200
2023-05-05,6678.879883,6706.220215,6673.319824,6685.660156,6685.660156,93700
2023-05-08,6709.560059,6750.060059,6600.740234,6600.740234,6600.740234,127600
2023-05-09,6615.729980,6646.580078,6594.450195,6622.609863,6622.609863,76800
2023-05-10,6632.830078,6660.660156,6621.580078,6658.589844,6658.589844,100400
2023-05-11,6669.399902,6704.529785,6657.509766,6675.459961,6675.459961,116400
2023-05-12,6661.600098,6668.649902,6578.149902,6578.149902,6578.149902,150400
2023-05-15,6582.569824,6585.720215,6523.149902,6523.149902,6523.149902,78700
2023-05-16,6549.339844,6596.339844,6549.339844,6588.899902,6588.899902,65700
2023-05-17,6595.459961,6644.379883,6593.660156,6635.109863,6635.109863,103100
2023-05-18,6642.529785,6658.160156,6628.640137,6628.640137,6628.640137,81200
2023-05-19,6635.450195,6694.089844,6635.450195,6664.549805,6664.549805,96200
2023-05-22,6651.189941,6651.189941,6596.790039,6620.830078,6620.830078,83100
2023-05-23,6601.750000,6641.759766,6592.169922,6603.560059,6603.560059,97300
2023-05-24,6596.299805,6615.950195,6589.810059,6615.950195,6615.950195,60000
2023-05-25,6612.470215,6613.850098,6560.220215,6560.220215,6560.220215,60500
2023-05-26,6570.950195,6570.950195,6496.470215,6530.200195,6530.200195,62300
2023-05-29,6543.930176,6593.160156,6532.720215,6593.160156,6593.160156,67000
2023-05-30,6574.790039,6574.790039,6510.669922,6510.669922,6510.669922,75900
2023-05-31,6517.069824,6522.089844,6469.910156,6477.359863,6477.359863,982000
2023-06-01,6502.759766,6502.759766,6430.580078,6430.580078,6430.580078,119900
2023-06-02,6449.970215,6512.009766,6449.970215,6512.009766,6512.009766,149500
2023-06-05,6525.629883,6544.129883,6521.060059,6521.640137,6521.640137,67300
2023-06-06,6526.209961,6539.490234,6479.930176,6479.930176,6479.930176,95600
2023-06-07,6490.350098,6564.700195,6483.870117,6564.700195,6564.700195,82600
2023-06-08,6546.470215,6551.979980,6520.529785,6539.359863,6539.359863,65800
2023-06-09,6541.040039,6553.229980,6501.930176,6507.149902,6507.149902,80100
2023-06-12,6541.040039,6553.229980,6501.930176,6507.149902,6507.149902,80100
2023-06-13,6492.060059,6525.419922,6471.529785,6507.259766,6507.259766,130200
2023-06-14,6505.339844,6526.359863,6423.689941,6434.060059,6434.060059,207100
2023-06-15,6434.939941,6461.419922,6386.839844,6461.419922,6461.419922,111900
2023-06-16,6450.299805,6508.370117,6413.569824,6508.339844,6508.339844,216400
2023-06-19,6491.850098,6491.850098,6422.109863,6450.339844,6450.339844,96000
2023-06-20,6434.029785,6448.899902,6410.330078,6448.899902,6448.899902,116400
2023-06-21,6420.799805,6437.399902,6406.879883,6424.209961,6424.209961,126300
2023-06-22,6423.060059,6423.060059,6374.069824,6404.910156,6404.910156,130700
2023-06-23,6404.379883,6421.779785,6392.629883,6393.549805,6393.549805,67400
2023-06-26,6422.569824,6545.450195,6419.930176,6523.089844,6523.089844,138700
2023-06-27,6519.790039,6547.330078,6491.810059,6502.850098,6502.850098,94600
2023-06-28,null,null,null,null,null,null
