Date,PredictedOpen,ActualOpen
05/01/2024,6360.08,6654.97
05/02/2024,6345.74,6654.97
05/03/2024,6331.39,6664.49
05/04/2024,6317.05,6664.49
05/05/2024,6302.7,6664.49
05/06/2024,6288.36,6639.27
05/07/2024,6274.02,6668.24
05/08/2024,6259.67,6620.35
05/09/2024,6245.33,6670.85
05/10/2024,6230.98,6574.22
05/11/2024,6216.64,6574.22
05/12/2024,6202.3,6574.22
05/13/2024,6187.95,6523.88
05/14/2024,6173.61,6601.93
05/15/2024,6159.27,6578.65
05/16/2024,6144.92,6589.24
05/17/2024,6130.58,6619.51
05/18/2024,6116.23,6619.51
05/19/2024,6101.89,6619.51
05/20/2024,6087.55,6633.59
05/21/2024,6073.2,6704.14
05/22/2024,6058.86,6606.8
05/23/2024,6044.51,6612.09
05/24/2024,6030.17,6634.61
05/25/2024,6015.83,6634.61
05/26/2024,6001.48,6634.61
05/27/2024,5987.14,6590.97
05/28/2024,5972.79,6572.96
05/29/2024,5958.45,6506.4
05/30/2024,5944.11,6506.4
